tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
Aether,files-100-500,webd.pl,files-100-500/webd.pl,CNAME_UPDATE,ok,,1lokrasnystaw.webd.pl..txt,,128.37,2.5029999999999997,,,,,num_lec=2241; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/CNAME_UPDATE/stderr.log
Aether,files-100-500,webng.com,files-100-500/webng.com,A_ADD,ok,,a7lajram.webng.com..txt,,41.17999999999999,0.598,,,,,num_lec=824; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webng.com/A_ADD/stderr.log
Aether,files-100-500,webng.com,files-100-500/webng.com,A_UPDATE,ok,,a7lajram.webng.com..txt,,46.67000000000001,0.28600000000000003,,,,,num_lec=823; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webng.com/A_UPDATE/stderr.log
Aether,files-100-500,webng.com,files-100-500/webng.com,NS_UPDATE,ok,,webng.com..txt,,41.119,0.41200000000000003,,,,,num_lec=823; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webng.com/NS_UPDATE/stderr.log
Aether,files-100-500,webng.com,files-100-500/webng.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,webself.net,files-100-500/webself.net,A_ADD,ok,,aspnetdevelopment.webself.net..txt,,77.76399999999998,0.193,,,,,num_lec=1328; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webself.net/A_ADD/stderr.log
Aether,files-100-500,webself.net,files-100-500/webself.net,A_UPDATE,ok,,aspnetdevelopment.webself.net..txt,,89.13999999999999,0.167,,,,,num_lec=1327; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webself.net/A_UPDATE/stderr.log
Aether,files-100-500,webself.net,files-100-500/webself.net,NS_UPDATE,ok,,webself.net..txt,,68.395,0.225,,,,,num_lec=1327; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webself.net/NS_UPDATE/stderr.log
Aether,files-100-500,webself.net,files-100-500/webself.net,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,website-start.de,files-100-500/website-start.de,A_ADD,ok,,s278642480.website-start.de..txt,,103.082,0.7919999999999999,,,,,num_lec=1900; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__website-start.de/A_ADD/stderr.log
