group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup
top-10,com.np,top-10/com.np,rewrite-heavy,CNAME_UPDATE,3.346,0.940142,2.410969,0.28097489539748954,0.7205526001195457
top-10,com.sg,top-10/com.sg,delegation-heavy,A_ADD,0.39,0.19189,0.466537,0.492025641025641,1.1962487179487178
top-10,com.sg,top-10/com.sg,delegation-heavy,A_UPDATE,0.010000000000000002,0.467532,0.549868,46.75319999999999,54.98679999999999
top-10,com.sg,top-10/com.sg,delegation-heavy,NS_UPDATE,0.009000000000000001,0.913445,1.204302,101.49388888888888,133.81133333333332
top-10,com.sg,top-10/com.sg,delegation-heavy,CNAME_UPDATE,0.046,0.902318,2.424244,19.615608695652174,52.70095652173913
top-10,com.tw,top-10/com.tw,delegation-heavy,A_ADD,0.583,0.214399,0.368403,0.3677512864493997,0.6319090909090909
top-10,com.tw,top-10/com.tw,delegation-heavy,A_UPDATE,0.012,0.673205,14.459739,56.10041666666667,1204.9782500000001
top-10,com.tw,top-10/com.tw,delegation-heavy,NS_UPDATE,0.012,0.772657,1.08215,64.38808333333334,90.17916666666666
top-10,com.tw,top-10/com.tw,delegation-heavy,CNAME_UPDATE,0.268,1.350803,2.841196,5.040309701492537,10.601477611940298
top-10,com.ua,top-10/com.ua,delegation-heavy,A_ADD,0.463,0.185937,0.411669,0.40159179265658745,0.889133909287257
top-10,com.ua,top-10/com.ua,delegation-heavy,A_UPDATE,0.009000000000000001,0.958002,1.114916,106.44466666666666,123.87955555555554
top-10,com.ua,top-10/com.ua,delegation-heavy,NS_UPDATE,0.010000000000000002,0.510865,0.631051,51.086499999999994,63.10509999999999
top-10,gov.cn,top-10/gov.cn,delegation-heavy,A_ADD,0.456,0.181759,0.325505,0.39859429824561404,0.7138267543859649
top-10,gov.cn,top-10/gov.cn,delegation-heavy,A_UPDATE,0.007,0.808204,0.891326,115.45771428571429,127.3322857142857
top-10,gov.cn,top-10/gov.cn,delegation-heavy,NS_UPDATE,0.007,0.929297,1.088755,132.75671428571428,155.53642857142856
top-10,net.au,top-10/net.au,delegation-heavy,A_ADD,0.396,0.327677,0.410661,0.8274671717171717,1.0370227272727273
top-10,net.au,top-10/net.au,delegation-heavy,A_UPDATE,0.008,0.743129,0.607667,92.891125,75.95837499999999
top-10,net.au,top-10/net.au,delegation-heavy,NS_UPDATE,0.008,1.189763,0.706083,148.720375,88.260375
top-10,net.au,top-10/net.au,delegation-heavy,CNAME_UPDATE,0.085,0.377309,1.033954,4.438929411764706,12.164164705882353
top-10,org.br,top-10/org.br,delegation-heavy,A_ADD,0.524,0.323931,0.717298,0.6181889312977099,1.3688893129770991
top-10,org.br,top-10/org.br,delegation-heavy,A_UPDATE,0.008,1.090284,1.16094,136.2855,145.1175
top-10,org.br,top-10/org.br,delegation-heavy,NS_UPDATE,0.010000000000000002,1.167634,2.945839,116.76339999999999,294.5838999999999
top-10,org.br,top-10/org.br,delegation-heavy,CNAME_UPDATE,0.061,0.512734,1.724042,8.405475409836066,28.26298360655738
