add type,check_flag,check info,check time(ns),check time and rr(ns)
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15044,20069
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),16013,21109
QueryType.CNAME,True,,16772,22298
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14509,19620
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15952,21165
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14287,19190
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14164,19406
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),16921,21773
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16926,21868
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14529,19588
QueryType.CNAME,True,,16380,21152
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14262,19112
QueryType.CNAME,True,,16266,21419
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17458,22842
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14256,19410
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),25776,31186
QueryType.CNAME,True,,14030,19322
QueryType.CNAME,True,,15645,20630
QueryType.CNAME,True,,13377,18033
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15682,20634
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16360,21186
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),13965,18698
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17759,23820
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14217,19283
